Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Purchase Date,Ship Date,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Discount Amount,Cost Price,Sale Price
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,16GB,1TB,Michael,Obrien,8759422956,carterpatricia@example.net,Ashley Wright,New Sales,Cash,44759,N/A,Offline,Low,0,570,21010,0,685,937,18384,23384
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,16GB,1TB,Kevin,Romero,(430)332-4476,tfreeman@example.com,Tonya Nolan,Repairs,Finance,45304,45334,Online,High,3465,380,22010,5166,786,50,18950,23116
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,2GB,256GB,Sarah,Mcconnell,(474)419-1030,richardsshelley@example.com,Alyssa Martinez,Repairs,Cash,44522,N/A,Offline,Medium,1981,146,17913,0,401,286,15215,19439
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,4GB,1TB,Sarah,King,(628)735-7206,nealrebecca@example.com,Lisa Graham,Returns,Cash,45206,N/A,Offline,High,0,856,15699,0,656,132,14132,16444
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,16GB,256GB,Gregory,Brown,900-400-3165x799,roberthebert@example.net,Allen Juarez,Second-hand Sales,Bank Transfer,45223,45234,Online,Medium,0,549,13599,0,488,984,12365,15254
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,8GB,500GB,Karen,Nguyen,268.968.3311x03727,simmonsdillon@example.com,Max Mccann,New Sales,Finance,44337,N/A,Offline,Low,0,781,13327,43712,573,549,12187,14372
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,4GB,256GB,Alexis,Gray,968-253-8760,sawyermark@example.com,Madison Davis,Repairs,Cash,44844,44852,Online,Medium,3902,762,22285,0,676,502,19899,23008
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,2GB,256GB,Garrett,Jones,373-794-7580x20731,ricky11@example.com,Joseph Good,Repairs,Cash,44586,44594,Online,Medium,3962,1000,30047,0,550,439,26911,30154
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,2GB,1TB,Christina,Little,(867)493-2795x5301,fjohnson@example.com,Amber Montgomery,Second-hand Sales,Bank Transfer,44965,N/A,Offline,High,0,321,3130,0,473,894,2688,5948
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,2GB,256GB,Daniel,Lee,+1-596-996-3259x547,lauriecastillo@example.com,Daniel Lane,Repairs,Finance,45198,N/A,Offline,Low,1783,850,20130,3330,434,555,19245,23505
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,16GB,500GB,Desiree,Garza,354-460-5679,carlos96@example.com,Kevin Lee,Returns,Cash,45113,45121,Online,Low,0,955,8823,0,685,803,6466,9048
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,16GB,1TB,Joshua,Adams,423-668-1647,fdaniels@example.org,Amy Owens,New Sales,Finance,45045,45067,Online,Medium,0,983,26325,29024,782,201,24519,26768
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,4GB,1TB,Shane,Brown,(752)070-2331,melissa64@example.com,Mary Fisher,Repairs,Cash,44420,N/A,Offline,Medium,4570,378,24109,0,423,232,23367,27513
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,8GB,500GB,Logan,Perez,(923)603-3333,gregory66@example.org,Julia Dodson,Second-hand Sales,Bank Transfer,44792,N/A,Offline,Medium,0,661,23419,0,533,203,21946,25723
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,16GB,256GB,Kim,Love,1910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,Cash,44468,N/A,Offline,Low,0,822,28481,0,446,150,26724,31139
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,4GB,256GB,Ryan,Curtis,016.137.8479,gregory28@example.net,David Osborn,Returns,Cash,45274,N/A,Offline,High,0,876,7199,0,715,6,5318,7653
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,4GB,256GB,Sharon,Pena,497.727.4314x534,cookjoshua@example.net,Jason Gentry,Repairs,Finance,45052,N/A,Offline,Low,3346,132,19928,28027,405,201,18832,21802
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,2GB,500GB,Nathaniel,Marshall,+1-542-502-1275x57882,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,Bank Transfer,45146,45174,Online,High,0,472,7482,0,529,383,6885,8948
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,16GB,500GB,Christopher,Hill,001-627-047-3808x4582,joshuahernandez@example.org,Lisa Morgan,Returns,Bank Transfer,44412,N/A,Offline,Medium,0,491,12728,0,782,632,10024,13841
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,16GB,500GB,Elizabeth,Melton,729.437.2339,grossmelissa@example.org,David Ellis,Returns,Cash,44602,N/A,Offline,Low,0,97,24685,0,623,909,22022,24788
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,2GB,256GB,Allison,Smith,(297)164-2241x912,fcole@example.com,Mary Nelson,New Sales,Cash,45050,N/A,Offline,Low,0,982,20287,0,642,338,18788,21357
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,16GB,500GB,Tara,Marks,4931322286,sanchezchristian@example.com,Morgan Moore,New Sales,Bank Transfer,45036,45066,Online,Medium,0,319,15616,0,609,941,14307,17436
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,16GB,500GB,David,Moon,001-478-678-3296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,Finance,44900,44922,Online,High,0,198,29708,44142,532,725,29677,32562
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,16GB,1TB,Pamela,Martin,396.536.2013x61043,mcgeecatherine@example.com,Alexa Hopkins,Returns,Finance,45261,N/A,Offline,Medium,0,521,23280,2896,616,73,20561,24439
